i,comhash,comhash0
786, 40, 39
787, 251, 41
788, 16, 46
789, 44, 41
790, 3, 32
791, 2, 29
792, 8, 42
793, 62, 33
794, 30, 27
795, 0, 34
796, 28, 35
797, 10, 41
798, 22, 22
799, 260, 23
800, 0, 25
801, 474, 15
802, 52, 19
803, 207, 24
804, 16, 15
805, 30, 25
806, 3, 17
807, 6, 19
808, 7, 20
809, 42, 19
810, 18, 12
811, 5, 18
812, 14, 21
813, 6, 10
814, 13, 19
815, 253, 27
816, 0, 25
817, 442, 18
818, 41, 21
819, 264, 19
820, 10, 25
821, 55, 23
822, 2, 17
823, 2, 14
824, 6, 27
825, 59, 20
826, 19, 26
827, 7, 30
828, 22, 23
829, 12, 30
830, 24, 27
831, 241, 32
832, 0, 39
833, 431, 46
834, 58, 34
835, 251, 54
836, 11, 43
837, 69, 55
838, 1, 46
839, 1, 51
840, 6, 52
841, 59, 17261
842, 11, 56
843, 4, 60
844, 20, 66
845, 16, 69
846, 15, 53
847, 249, 60
848, 2, 56
849, 411, 70
850, 53, 76
851, 254, 56
852, 10, 80
853, 51, 61
854, 3, 64
855, 0, 77
856, 7, 66
857, 46, 68
858, 19, 58
859, 4, 55
860, 20, 64
861, 11, 78
862, 28, 72
863, 258, 78
864, 0, 71
865, 444, 61
866, 41, 80
867, 297, 67
868, 15, 58
869, 47, 56
870, 2, 67
871, 2, 68
872, 6, 46
873, 60, 44
874, 22, 53
875, 1, 57
876, 19, 32
877, 5, 41
878, 16, 43
879, 292, 43
880, 1, 37
881, 387, 45
882, 49, 49
883, 244, 48
884, 6, 37
885, 53, 48
886, 3, 49
887, 3, 31
888, 5, 29
889, 62, 33
890, 24, 32
891, 3, 38
892, 14, 30
893, 8, 48
894, 16, 35
895, 255, 30
896, 2, 48
897, 437, 46
898, 52, 36
899, 269, 49
900, 13, 58
901, 54, 34
902, 2, 49
903, 2, 57
904, 5, 54
905, 47, 45
906, 18, 64
907, 4, 50
908, 15, 86
909, 8, 60
910, 20, 66
911, 281, 68
912, 1, 66
913, 437, 81
914, 48, 78
915, 283, 79
916, 16, 83
917, 59, 83
918, 0, 102
919, 6, 103
920, 4, 97
921, 41, 94
922, 15, 94
923, 5, 107
924, 20, 108
925, 13, 104
926, 14, 123
927, 255, 107
928, 0, 99
929, 432, 116
930, 61, 103
931, 280, 98
932, 10, 128
933, 47, 109
934, 0, 107
935, 6, 118
936, 6, 97
937, 57, 112
938, 24, 118
939, 5, 97
940, 23, 113
941, 8, 85
942, 26, 101
943, 271, 102
944, 0, 75
945, 414, 98
946, 56, 87
947, 296, 75
948, 8, 71
949, 57, 79
950, 4, 69
951, 3, 66
952, 2, 76
953, 48, 67
954, 26, 59
955, 1, 82
956, 18, 78
957, 8, 73
958, 27, 65
959, 255, 62
960, 0, 52
961, 453, 56
962, 48, 46
963, 286, 35
964, 14, 41
965, 57, 43
966, 1, 52
967, 3, 46
968, 5, 60
969, 61, 50
970, 24, 52
971, 5, 54
972, 28, 50
973, 16, 58
974, 22, 58
975, 251, 65
976, 0, 65
977, 421, 75
978, 55, 75
979, 292, 57
980, 12, 84
981, 34, 77
982, 2, 91
983, 2, 89
984, 8, 79
985, 39, 84
986, 19, 88
987, 5, 66
988, 16, 74
989, 8, 114
990, 21, 72
991, 246, 98
992, 0, 111
993, 456, 100
994, 52, 97
995, 260, 111
996, 13, 133
997, 55, 115
998, 1, 147
999, 0, 128
1000, 3, 123
1001, 52, 127
1002, 25, 126
1003, 7, 133
1004, 10, 116
1005, 10, 154
1006, 20, 98
1007, 258, 124
1008, 0, 119
1009, 427, 117
1010, 37, 134
1011, 282, 153
1012, 10, 114
1013, 39, 122
1014, 1, 136
1015, 3, 108
1016, 10, 116
1017, 42, 101
1018, 21, 139
1019, 4, 101
1020, 28, 125
1021, 11, 110
1022, 18, 113
1023, 266, 110
1024, 0, 103
1025, 411, 106
1026, 39, 99
1027, 272, 90
1028, 9, 87
1029, 44, 101
1030, 2, 93
1031, 1, 94
1032, 3, 93
1033, 67, 82
1034, 26, 75
1035, 3, 67
1036, 16, 78
1037, 11, 102
1038, 11, 74
1039, 270, 80
1040, 1, 71
1041, 433, 78
1042, 45, 74
1043, 250, 75
1044, 18, 88
1045, 46, 66
1046, 3, 63
1047, 2, 91
1048, 6, 78
1049, 38, 89
1050, 14, 81
1051, 8, 81
1052, 16, 93
1053, 12, 65
1054, 12, 110
1055, 237, 101
1056, 1, 92
1057, 455, 114
1058, 34, 107
1059, 238, 111
1060, 9, 93
1061, 49, 124
1062, 2, 98
1063, 6, 139
1064, 4, 115
1065, 45, 121
1066, 20, 117
1067, 5, 111
1068, 20, 126
1069, 7, 137
1070, 16, 116
1071, 225, 151
1072, 0, 135
1073, 415, 137
1074, 53, 139
1075, 267, 152
1076, 10, 157
1077, 52, 133
1078, 0, 166
1079, 0, 158
1080, 7, 126
1081, 55, 169
1082, 19, 162
1083, 4, 155
1084, 14, 147
1085, 11, 125
1086, 20, 157
1087, 257, 161
1088, 0, 172
1089, 449, 149
1090, 38, 146
1091, 233, 141
1092, 6, 134
1093, 40, 140
1094, 1, 124
1095, 4, 151
1096, 6, 160
1097, 40, 131
1098, 22, 116
1099, 4, 115
1100, 18, 116
1101, 9, 155
1102, 19, 154
1103, 264, 131
1104, 0, 125
1105, 431, 116
1106, 39, 158
1107, 276, 128
1108, 7, 115
1109, 52, 122
1110, 0, 131
1111, 2, 133
1112, 9, 110
1113, 52, 121
1114, 29, 124
1115, 0, 134
1116, 26, 114
