i,comhash,comhash0
757,287,709
758,0,763
759,0,782
760,0,717
761,54,801
762,0,840
763,0,787
764,0,782
765,0,814
766,0,882
767,59,751
768,0,800
769,33,795
770,0,816
771,26,823
772,0,780
773,129,779
774,0,799
775,0,744
776,0,745
777,89,815
778,0,836
779,0,754
780,0,801
781,0,819
782,0,806
783,42,845
784,0,751
785,21,833
786,1,808
787,2,839
788,2,786
789,137,782
790,0,783
791,0,705
792,0,745
793,36,758
794,0,727
795,0,719
796,0,711
797,0,755
798,0,721
799,842,753
800,0,759
801,992,705
802,0,753
803,0,752
804,5,669
805,107,706
806,0,684
807,0,723
808,0,771
809,96,721
810,0,714
811,1,717
812,0,702
813,0,670
814,2,699
815,187,665
816,0,737
817,554,732
818,28,712
819,18,739
820,22,665
821,24,721
822,7,686
823,15,678
824,4,718
825,57,697
826,5,715
827,7,667
828,153,678
829,57,730
830,786,670
831,4,700
832,10,730
833,101,698
834,104,721
835,7280,706
836,82,726
837,36,768
838,50,727
839,60,675
840,6,731
841,36,17845
842,1765,718
843,0,733
844,0,717
845,0,754
846,0,708
847,34,723
848,2,714
849,0,689
850,18,768
851,11,710
852,56,803
853,8,710
854,11,741
855,0,750
856,3,738
857,99,720
858,0,703
859,27,705
860,510,706
861,17,728
862,409,697
863,2912,702
864,1,692
865,3913,699
866,1095,705
867,2311,760
868,51,726
869,609,735
870,0,701
871,0,740
872,1,753
873,189,762
874,31,683
875,0,771
876,2,684
877,0,673
878,0,670
879,842,656
880,0,622
881,321,682
882,0,676
883,14,663
884,0,685
885,120,720
886,0,656
887,0,674
888,460,673
889,562,741
890,0,673
891,94,675
892,0,631
893,0,645
894,0,655
895,1566,667
896,0,664
897,865,600
898,0,676
899,1,630
900,96,672
901,5360,621
902,0,647
903,0,658
904,98,606
905,1465,680
906,5,643
907,0,662
908,3,716
909,0,648
910,0,696
911,11581,684
912,0,613
913,60,676
914,32,707
915,15,653
916,77,648
917,25,669
918,24,674
919,21,694
920,1,684
921,68,698
922,166,669
923,97,764
924,1081,736
925,248,685
926,543,726
927,8,701
928,11,748
929,14,721
930,1595,726
931,4288,676
932,81,738
933,22,637
934,169,698
935,1,673
936,4,684
937,58,733
938,3165,724
939,1,711
940,0,745
941,0,763
942,0,699
943,51,688
944,0,676
945,125,735
946,0,693
947,3,655
948,6,638
949,15,651
950,0,664
951,1,669
952,2,610
953,66,664
954,0,675
955,0,710
956,1,650
957,0,659
958,0,662
959,122,641
960,0,623
961,5220,628
962,0,650
963,6,601
964,15,650
965,253,642
966,0,645
967,0,612
968,0,631
969,1457,661
970,0,636
971,2,619
972,34,595
973,11,611
974,91,588
975,222,644
976,0,646
977,1832,673
978,53,663
979,77,629
980,135,645
981,33,638
982,37,682
983,82,651
984,3,583
985,29,638
986,1,635
987,67,601
988,551,636
989,119,681
990,274,604
991,2144,669
992,0,675
993,541,680
994,14,639
995,1577,658
996,17,635
997,64,649
998,6,681
999,5,615
1000,1,616
1001,797,674
1002,4,666
1003,0,654
1004,2,689
1005,3,700
1006,0,634
1007,498,642
1008,0,674
1009,153,689
1010,0,652
1011,0,655
1012,0,640
1013,154,625
1014,0,697
1015,0,639
1016,0,596
1017,1944,646
1018,0,656
1019,0,662
1020,4,658
1021,0,650
1022,0,684
1023,51,626
